Tyre Life Span (Years),Tyre Life in Kilometers,Tyre Width,Required Tyre Pressure,Maximum Safe Tyre Speed,Tyre Brand/Company,Tyre Load Capacity (kg),Tyre Position,Tread Depth (mm),Tyre Temperature (°C),Tyre Type,Seasonal Type,Speed Index,Load Index,Manufacturing Date,Wheel Alignment History,Road Condition Usage,Last Rotation Date,Vehicle Type Compatibility,Tyre Noise Level (dB),TPMS Pressure,TPMS Temperature,Leak Detection,Tread Wear Pattern,Mileage Since Installation,Expected Replacement Date
3,41993,215,30,220,Pirelli,781,Rear Left,7.8,53,Tube-type,All-season,W,96,2023-03-08,Misaligned,Highway,2025-01-26,Truck,67.6,33,45,No,Center,24881,2026-03-07
5,65083,165,30,198,Goodyear,544,Rear Left,7.6,38,Tube-type,Winter,T,85,2022-11-22,Needs Check,City,2025-02-04,Truck,71.2,33,50,Yes,Outer,3200,2027-11-21
3,68282,195,33,194,Bridgestone,742,Rear Left,2.8,48,Tubeless,Summer,T,80,2024-08-01,Misaligned,Off-road,2024-08-03,Sedan,74.2,36,31,No,Even,27136,2027-08-01
6,65944,195,32,193,Pirelli,470,Front Right,4.3,46,Tubeless,Summer,Y,102,2021-07-21,Needs Check,Mixed,2025-05-06,Truck,68.7,36,25,No,Center,18774,2027-07-20
7,39770,225,33,230,MRF,717,Rear Right,2.9,58,Tube-type,Winter,W,89,2022-01-06,Misaligned,Mixed,2025-01-15,SUV,71.1,29,71,Yes,Outer,5673,2029-01-04
3,45454,225,34,224,Continental,597,Front Left,4.0,69,Tubeless,All-season,V,82,2020-09-10,Needs Check,Mixed,2024-08-17,Sedan,68.6,28,37,Yes,Inner,24413,2023-09-10
3,52707,225,35,182,Pirelli,519,Rear Right,5.4,43,Tubeless,Winter,Y,80,2021-05-12,Needs Check,Mixed,2025-05-19,SUV,71.5,36,25,No,Inner,21929,2024-05-11
3,62128,175,30,199,MRF,681,Rear Left,4.1,36,Tubeless,All-season,H,103,2020-10-29,Good,Highway,2024-11-06,Sedan,73.4,34,54,Yes,Even,22046,2023-10-29
6,38459,195,35,184,Continental,753,Rear Right,7.4,66,Tube-type,All-season,T,94,2022-08-29,Needs Check,City,2025-02-27,SUV,69.7,33,80,No,Center,25328,2028-08-27
4,45031,195,32,212,Michelin,658,Rear Right,5.8,51,Tubeless,All-season,V,104,2020-09-28,Needs Check,Mixed,2024-11-09,SUV,65.1,29,61,Yes,Center,42085,2024-09-27
7,44879,165,31,195,Bridgestone,651,Front Left,7.6,25,Tubeless,All-season,T,84,2021-01-18,Misaligned,City,2025-05-07,Hatchback,71.3,32,45,No,Center,38548,2028-01-17
